Study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
board,,,,0,0,0,4,,,,,14.968585999915376,14.968585999915376,1.8407407407407408,1.9428662001155317,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
pastry,,,,0,1,1,9,,,,,16.863799799932167,16.863799799932167,2.014814814814815,4.419973599957302,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
marble,,,,0,2,2,3,,,,,21.383899200009182,21.383899200009182,1,1.762222999939695,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
cruise,,,,0,3,3,11,,,,,23.154662299901247,23.154662299901247,1,1.2989006000570953,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
keys,,,,0,4,4,13,,,,,24.489914199803025,24.489914199803025,1,1.045783800072968,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
chart,,,,0,5,5,6,,,,,25.577424899907783,25.577424899907783,2.996296296296296,1.3646676000207663,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
mouse,,,,0,6,6,8,,,,,27.020415199920535,27.020415199920535,4.011111111111111,1.6584244999103248,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
poster,,,,0,7,7,14,,,,,28.69738859985955,28.69738859985955,1.9666666666666666,2.1783153999131173,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
book,,,,0,8,8,0,,,,,30.902459499891847,30.902459499891847,1.0037037037037038,2.3163716001436114,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
police,,,,0,9,9,12,,,,,33.26599179999903,33.26599179999903,1.0037037037037038,1.1641481001861393,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
T-shirt,,,,0,10,10,7,,,,,34.47265769983642,34.47265769983642,1.0037037037037038,1.0397714001592249,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
case,,,,0,11,11,10,,,,,35.56952859996818,35.56952859996818,3.0037037037037035,2.4371879000682384,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
laptop,,,,0,12,12,5,,,,,38.03842039988376,38.03842039988376,1.0185185185185186,1.9003802000079304,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
cushion,,,,0,13,13,1,,,,,39.96235149982385,39.96235149982385,1.0185185185185186,1.7459861999377608,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
phone,,,,0,14,14,2,,,,,41.75351689988747,41.75351689988747,1.0185185185185186,1.2258832000661641,,,,,,,,,,,,,252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_ou_se,mouse,old,,,,,0,0,0,3,,,,,43.04232819983736,43.04232819983736,43.04232819983736,0.045544999884441495,mouse,"[-0.000925925925925926, -0.005555555555555556]","[-0.2564814814814815, -0.3175925925925926]","[1, 1]","[0, 0]","[0, 0]","[4.4823917001485825, 5.614948200061917]",['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_a_bl_,marble,old,,,,,0,1,1,11,,,,,48.67567209992558,48.67567209992558,48.67567209992558,0.010822199983522296,table,[-0.013888888888888888],[-0.28425925925925927],[1],[0],[0],[4.170002399943769],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_o_rd,board,old,,,,,0,2,2,10,,,,,52.863113899948075,52.863113899948075,52.863113899948075,0.013730899896472692,board,[-0.024074074074074074],[-0.30092592592592593],[1],[0],[0],[4.612076199846342],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,l_pt_p,laptop,old,,,,,0,3,3,0,,,,,57.492593499831855,57.492593499831855,57.492593499831855,0.011581399943679571,laptop,[-0.024074074074074074],[-0.30092592592592593],[1],[0],[0],[4.682910799980164],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_ha_t,chart,old,,,,,0,4,4,1,,,,,62.17437809985131,62.17437809985131,62.17437809985131,0.006999799981713295,chart,[-0.028703703703703703],[-0.3],[1],[0],[0],[3.5393153000622988],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,ta_l_,table,new,,,,,0,5,5,15,,,,,65.72581239999272,65.72581239999272,65.72581239999272,0.006792199797928333,table,[0.011111111111111112],[-0.287962962962963],[1],[0],[0],[3.0438759000971913],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,T_hi_t,T-shirt,old,,,,,0,6,6,2,,,,,68.78869029995985,68.78869029995985,68.78869029995985,0.010851599974557757,tshirt,[-0.022222222222222223],[-0.29814814814814816],[1],[0],[0],[4.556201899889857],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,bo_t_e,bottle,new,,,,,0,7,7,18,,,,,73.36004019994289,73.36004019994289,73.36004019994289,0.009428200079128146,bottle,[-0.022222222222222223],[-0.29814814814814816],[1],[0],[0],[3.382048900006339],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_ru_is_,cruise,old,,,,,0,8,8,6,,,,,76.7572345000226,76.7572345000226,76.7572345000226,0.010948099894449115,cruise,[-0.025],[-0.2916666666666667],[1],[0],[0],[4.195464999880642],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,p_st_r,poster,old,,,,,0,9,9,9,,,,,80.96291109989397,80.96291109989397,80.96291109989397,0.008945400128141046,pastry,[-0.058333333333333334],[-0.2898148148148148],[1],[0],[0],[3.4285605000332],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,c_s_io,cushion,old,,,,,0,10,10,14,,,,,84.4050288000144,84.4050288000144,84.4050288000144,0.008971399860456586,casio,[-0.06018518518518518],[-0.3055555555555556],[1],[0],[0],[6.976180400000885],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,p_li_e,police,old,,,,,0,11,11,7,,,,,91.38894739979878,91.38894739979878,91.38894739979878,0.00881880009546876,police,"[-0.025925925925925925, -0.046296296296296294]","[-0.25462962962962965, -0.2796296296296296]","[1, 1]","[0, 0]","[0, 0]","[3.611552300164476, 4.67115980014205]",['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,c_s_,case,old,,,,,0,12,12,5,,,,,96.07570069981739,96.07570069981739,96.07570069981739,0.008303000126034021,case,[-0.06388888888888888],[-0.3101851851851852],[1],[0],[0],[3.35288120014593],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,v_s_,vase,new,,,,,0,13,13,17,,,,,99.43720599985681,99.43720599985681,99.43720599985681,0.01101869996637106,vase,[-0.03148148148148148],[-0.30092592592592593],[1],[0],[0],[2.5204163000453264],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,c_m_ra,camera,new,,,,,0,14,14,19,,,,,101.97464389982633,101.97464389982633,101.97464389982633,0.009481099899858236,camera,[-0.010185185185185186],[-0.2962962962962963],[1],[0],[0],[5.236144899856299],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,p_as_tr_,pastery,old,,,,,0,15,15,4,,,,,107.22701179981232,107.22701179981232,107.22701179981232,0.011572499992325902,pastry,[-0.013888888888888888],[-0.29444444444444445],[1],[0],[0],[4.0822473000735044],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,k_y_,keys,old,,,,,0,16,16,8,,,,,111.3134771999903,111.3134771999903,111.3134771999903,0.007527699926868081,keys,[-0.03425925925925926],[-0.29444444444444445],[1],[0],[0],[4.006261000176892],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_oo_,book,old,,,,,0,17,17,13,,,,,115.3361180999782,115.3361180999782,115.3361180999782,0.007918799994513392,book,[-0.03333333333333333],[-0.2972222222222222],[1],[0],[0],[2.96914350008592],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,_ho_e,phone,old,,,,,0,18,18,12,,,,,118.30600310000591,118.30600310000591,118.30600310000591,0.005509800044819713,sho,[],[],[],[],[],[],[],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
,p_nc_l,pencil,new,,,,,0,19,19,16,,,,,128.331512699835,128.331512699835,128.331512699835,0.024947599973529577,pencil,[-0.09814814814814815],[-0.29444444444444445],[1],[0],[0],[4.002357300138101],['text_3'],252829,001,2023-09-29_13h54.19.424,Priming EXP,2023.1.3,60.022712627651934,
